"","Enero","Febrero","Marzo","Abril","Mayo","Junio","Julio"
"1",0,0,53,246,653,1501,630
"2",0,1,179,2110,3742,4145,1070
"3",0,0,40,307,341,1060,855
"4",0,0,9,111,541,1811,710
"5",0,1,16,213,1964,2698,416
"6",0,0,31,731,1612,1291,427
"7",0,3,653,7606,21370,22203,7835
"8",0,1,72,374,1041,4421,2079
"9",0,0,5,26,142,466,341
"10",0,0,13,66,410,1686,749
"11",0,0,56,277,1661,7184,4151
"12",0,0,32,347,2226,3803,1741
"13",0,1,40,318,1660,2103,913
"14",0,0,121,327,1797,5350,2165
"15",0,1,355,4998,14709,19014,5040
"16",0,0,29,374,1894,4224,909
"17",0,0,16,471,1363,1298,308
"18",0,0,10,111,531,1203,672
"19",1,0,90,321,1335,5805,3278
"20",0,0,27,177,1883,4551,1391
"21",0,0,149,721,3010,8667,2329
"22",0,0,37,129,880,1112,509
"23",0,0,113,818,1062,2023,1517
"24",0,0,40,116,881,2477,1488
"25",1,0,78,1129,2958,5169,1413
"26",0,0,31,361,3186,7331,1803
"27",0,0,73,1153,3475,7374,3834
"28",0,0,24,534,1684,5605,1840
"29",0,0,6,241,953,1647,652
"30",0,0,38,825,4107,6933,3170
"31",0,0,67,541,1356,2825,1885
"32",0,0,10,91,222,682,511
